created_at,entry_id,Acc_x,Acc_y,Gyro_x,Gyro_y,EMG,latitude,longitude,elevation,status
2024-01-12T15:14:28+00:00,194,-0.35913,1.90578,0.00933,0.00853,1492,,,,
2024-01-12T15:14:44+00:00,195,-0.35434,1.96325,-0.07461,0.01652,1504,,,,
2024-01-12T15:14:59+00:00,196,-0.13408,1.98479,-0.06422,0.00107,1526,,,,
2024-01-12T15:15:18+00:00,197,-0.18914,2.23858,-0.0437,0.01146,1535,,,,
2024-01-12T15:15:34+00:00,198,-0.27533,2.30801,-0.06448,0.01732,1555,,,,
2024-01-12T15:15:51+00:00,199,-0.27773,2.28886,-0.05249,0.00799,1570,,,,
2024-01-12T15:16:06+00:00,200,-0.48842,2.33674,-0.05329,0.03464,1581,,,,
2024-01-12T15:16:23+00:00,201,-0.50039,2.30083,-0.06235,0.05489,1581,,,,
2024-01-12T15:16:39+00:00,202,-0.42856,2.27449,-0.05542,0.02212,1597,,,,
2024-01-12T15:16:55+00:00,203,-0.40223,2.27928,-0.05969,0.02691,1603,,,,
2024-01-12T15:17:13+00:00,204,-0.48123,2.24337,-0.03624,0.03597,1614,,,,
2024-01-12T15:17:30+00:00,205,-0.42856,2.13563,-0.05249,0.01679,1616,,,,
2024-01-12T15:17:46+00:00,206,-0.56743,2.28407,-0.03011,0.02425,1626,,,,
2024-01-12T15:18:02+00:00,207,-0.54827,2.32477,-0.04956,0.01732,1637,,,,
2024-01-12T15:18:17+00:00,208,-0.52194,2.32716,-0.05303,0.00373,1630,,,,
2024-01-12T15:18:33+00:00,209,-0.58179,2.26252,-0.05756,0.01705,1659,,,,
2024-01-12T15:18:49+00:00,210,-0.51954,2.34871,-0.05596,0.02372,1662,,,,
2024-01-12T15:19:06+00:00,211,-0.55067,2.38223,-0.05036,0.02531,1667,,,,
2024-01-12T15:19:24+00:00,212,-0.33758,2.36787,0.04423,0.03624,1682,,,,
2024-01-12T15:19:39+00:00,213,-0.41659,2.478,-0.05889,0.01732,1694,,,,
2024-01-12T15:19:56+00:00,214,-0.39744,2.41336,-0.06155,0.01359,1713,,,,
2024-01-12T15:20:11+00:00,215,-0.38307,2.32477,-0.04716,0.01625,1723,,,,
2024-01-12T15:20:30+00:00,216,-0.58658,2.26731,-0.07061,0.02398,1739,,,,
2024-01-12T15:20:52+00:00,217,0.33998,1.52032,-0.04903,0.02611,1755,,,,
2024-01-12T15:21:12+00:00,218,0.46448,1.42216,-0.05436,0.00666,1772,,,,
2024-01-12T15:21:31+00:00,219,0.40701,1.43413,-0.05596,0.02425,1783,,,,
2024-01-12T15:21:47+00:00,220,0.49321,1.47962,-0.01439,0.10339,1778,,,,
2024-01-12T15:22:03+00:00,221,6.93121,7.45554,0.42741,-0.47297,1792,,,,
2024-01-12T15:22:18+00:00,222,2.48758,8.86333,-0.0429,0.01865,1778,,,,
2024-01-12T15:22:34+00:00,223,2.38462,8.73405,-0.03411,-0.01252,1776,,,,
2024-01-12T15:22:52+00:00,224,2.41336,8.82503,-0.05143,0.03864,1771,,,,
2024-01-12T15:23:09+00:00,225,2.33674,8.8346,-0.0445,0.01679,1776,,,,
2024-01-12T15:23:27+00:00,226,2.31759,8.82024,-0.0405,0.02292,1787,,,,
2024-01-12T15:23:43+00:00,227,2.11169,8.9208,-0.06155,0.07647,1796,,,,
2024-01-12T15:23:59+00:00,228,2.1452,8.78193,-0.0461,-0.00586,1791,,,,
2024-01-12T15:24:16+00:00,229,2.15718,8.82263,-0.05836,0.01865,1781,,,,
2024-01-12T15:24:31+00:00,230,2.33674,8.96629,-0.12284,0.20917,1787,,,,
2024-01-12T15:24:50+00:00,231,3.99592,8.98304,-0.00266,-0.06448,1781,,,,
2024-01-12T15:25:06+00:00,232,2.23858,9.12909,-0.0493,0.02691,1786,,,,
2024-01-12T15:25:23+00:00,233,2.25055,9.11951,-0.05249,0.02745,1789,,,,
2024-01-12T15:25:45+00:00,234,2.229,9.0836,-0.05516,0.02718,1809,,,,
2024-01-12T15:26:00+00:00,235,2.2314,9.0836,-0.05809,0.02238,1809,,,,
2024-01-12T15:26:19+00:00,236,2.15718,9.04529,-0.05809,0.02904,1819,,,,
2024-01-12T15:26:35+00:00,237,2.28407,9.04769,-0.04716,0.01332,1836,,,,
2024-01-12T15:26:55+00:00,238,2.26252,9.0429,-0.06422,0.01439,1835,,,,
2024-01-12T15:27:10+00:00,239,2.2721,9.02375,-0.05622,0.02238,1844,,,,
2024-01-12T15:27:26+00:00,240,2.25294,9.03811,-0.05889,0.02105,1852,,,,
2024-01-12T15:27:42+00:00,241,2.25534,9.04051,-0.05756,0.02292,1856,,,,
2024-01-12T15:27:58+00:00,242,2.24576,9.03811,-0.05436,0.01732,1862,,,,
2024-01-12T15:28:15+00:00,243,2.19309,9.10275,-0.08527,0.00213,1860,,,,
2024-01-12T15:28:34+00:00,244,1.72143,9.22486,-0.03357,0.01652,1936,,,,
2024-01-12T15:28:53+00:00,245,1.69749,9.23204,-0.06528,0.01652,1869,,,,
2024-01-12T15:29:10+00:00,246,1.69509,9.23922,-0.0461,0.02372,1873,,,,
2024-01-12T15:29:26+00:00,247,1.69509,9.24641,-0.05915,0.03064,1872,,,,
2024-01-12T15:29:43+00:00,248,1.68552,9.26556,-0.03757,0.02878,1872,,,,
2024-01-12T15:30:00+00:00,249,1.62087,9.27035,-0.06182,0.02078,1866,,,,
2024-01-12T15:30:20+00:00,250,1.60172,9.24401,-0.05169,0.01919,1866,,,,
2024-01-12T15:30:36+00:00,251,1.62806,9.27514,-0.05196,0.02558,1861,,,,
2024-01-12T15:30:56+00:00,252,1.61369,9.25598,-0.04024,0.02265,1858,,,,
2024-01-12T15:31:13+00:00,253,1.62566,9.26077,-0.05782,0.02878,1869,,,,
2024-01-12T15:31:31+00:00,254,1.50356,9.19373,-0.03837,0.01146,1847,,,,
2024-01-12T15:31:47+00:00,255,1.50356,9.24641,-0.06448,0.02451,1851,,,,
2024-01-12T15:32:04+00:00,256,1.49398,9.24162,-0.0453,0.01972,1846,,,,
2024-01-12T15:32:22+00:00,257,1.4868,9.19134,-0.06395,0.08713,1853,,,,
2024-01-12T15:32:41+00:00,258,1.21386,9.39485,-0.01412,0.01519,1849,,,,
2024-01-12T15:32:59+00:00,259,8.22169,5.97114,-0.08047,0.01652,1827,,,,
2024-01-12T15:33:16+00:00,260,8.85136,4.77883,-0.06502,0.04903,1931,,,,
2024-01-12T15:33:31+00:00,261,8.64546,5.46117,-0.04983,-0.01945,1936,,,,
2024-01-12T15:33:50+00:00,262,8.54969,5.58088,-0.11724,0.03411,1951,,,,
2024-01-12T15:34:07+00:00,263,8.47787,5.56173,0.00933,0.02904,1957,,,,
2024-01-12T15:34:23+00:00,264,9.34457,2.82276,-0.10392,-0.02558,1959,,,,
